term,term_count,doc_count,rank,frequency
bildung,5,5,262,4.765535646206634e-4
buergermeister,5,5,263,4.765535646206634e-4
bundeswehr,5,5,264,4.765535646206634e-4
cand,5,5,265,4.765535646206634e-4
dgb,5,5,266,4.765535646206634e-4
diakon,5,5,267,4.765535646206634e-4
diplomhandelslehrer,5,5,268,4.765535646206634e-4
dolmetscherin,5,5,269,4.765535646206634e-4
dr,5,5,270,4.765535646206634e-4
eines,5,5,271,4.765535646206634e-4
elektro,5,5,272,4.765535646206634e-4
f,5,5,273,4.765535646206634e-4
finanzwirtin,5,5,274,4.765535646206634e-4
fuhrparks,5,5,275,4.765535646206634e-4
germanist,5,5,276,4.765535646206634e-4
gesundheits,5,5,277,4.765535646206634e-4
gesundheitswesen,5,5,278,4.765535646206634e-4
hausmann,5,5,279,4.765535646206634e-4
hochschulprofessor,5,5,280,4.765535646206634e-4
konditormeister,5,5,281,4.765535646206634e-4
land,5,5,282,4.765535646206634e-4
landesvorsitzende,5,5,283,4.765535646206634e-4
leitende,5,5,284,4.765535646206634e-4
literaturwissenschaftlerin,5,5,285,4.765535646206634e-4
magister,5,5,286,4.765535646206634e-4
major,5,5,287,4.765535646206634e-4
maler,5,5,288,4.765535646206634e-4
manager,5,5,289,4.765535646206634e-4
managerin,5,5,290,4.765535646206634e-4
maschinenbauingenieur,5,5,291,4.765535646206634e-4
mdab,5,5,292,4.765535646206634e-4
mdep,5,5,293,4.765535646206634e-4
medizin,5,5,294,4.765535646206634e-4
oberpostdirektor,5,5,295,4.765535646206634e-4
physikerin,5,5,296,4.765535646206634e-4
politik,5,5,297,4.765535646206634e-4
polizeihauptkommissar,5,5,298,4.765535646206634e-4
regierungsrat,5,5,299,4.765535646206634e-4
rektorin,5,5,300,4.765535646206634e-4
rentner,5,5,301,4.765535646206634e-4
senator,5,5,302,4.765535646206634e-4
soldat,5,5,303,4.765535646206634e-4
sozialwirt,5,5,304,4.765535646206634e-4
speditionskaufmann,5,5,305,4.765535646206634e-4
sport,5,5,306,4.765535646206634e-4
steuerberaterin,5,5,307,4.765535646206634e-4
studienrätin,5,5,308,4.765535646206634e-4
städtischer,5,5,309,4.765535646206634e-4
tu,5,5,310,4.765535646206634e-4
universität,5,5,311,4.765535646206634e-4
vertrieb,5,5,312,4.765535646206634e-4
wirtschaft,5,5,313,4.765535646206634e-4
wirtschaftsingenieurin,5,5,314,4.765535646206634e-4
wirtschaftswissenschaftler,5,5,315,4.765535646206634e-4
übersetzer,5,5,316,4.765535646206634e-4
amtsrat,4,4,317,3.812428516965307e-4
anerkannte,4,4,318,3.812428516965307e-4
apothekerin,4,4,319,3.812428516965307e-4
arzthelferin,4,4,320,3.812428516965307e-4
auszubildender,4,4,321,3.812428516965307e-4
außenhandelskaufmann,4,4,322,3.812428516965307e-4
bankfachwirt,4,4,323,3.812428516965307e-4
baukaufmann,4,4,324,3.812428516965307e-4
bauunternehmer,4,4,325,3.812428516965307e-4
berufschullehrer,4,4,326,3.812428516965307e-4
berufsparlamentarier,4,4,327,3.812428516965307e-4
berufssoldat,4,4,328,3.812428516965307e-4
betriebsrat,4,4,329,3.812428516965307e-4
betriebsratsvorsitzender,4,4,330,3.812428516965307e-4
bevollmächtigter,4,4,331,3.812428516965307e-4
bezirksstadtrat,4,4,332,3.812428516965307e-4
