occupation,has_domain,domain,clean_title
tierpfleger,FALSE,NA,tierpfleger
ingenieur grad,FALSE,NA,ingenieur grad
rechtsreferendar,FALSE,NA,rechtsreferendar
geschaeftsstellenleiter,FALSE,NA,geschaeftsstellenleiter
fassmalerin,FALSE,NA,fassmalerin
sozialarbeiterin grad,FALSE,NA,sozialarbeiterin grad
schulleiter,FALSE,NA,schulleiter
zivildienstleistender,FALSE,NA,zivildienstleistender
bau moebeltischler,FALSE,NA,bau moebeltischler
politologin,FALSE,NA,politologin
pfarrer oberstudienrat,FALSE,NA,pfarrer oberstudienrat
berufsberater,FALSE,NA,berufsberater
schwimmeister,FALSE,NA,schwimmeister
landwirt mdb,FALSE,NA,landwirt mdb
verbandsdirektor,FALSE,NA,verbandsdirektor
arbeiterin,FALSE,NA,arbeiterin
landeskonservator,FALSE,NA,landeskonservator
biologe,FALSE,NA,biologe
forstbeamter,FALSE,NA,forstbeamter
sozialarbeiter,FALSE,NA,sozialarbeiter
universitaetsprofessor,FALSE,NA,universitaetsprofessor
journalist mdb,FALSE,NA,journalist mdb
bundesbahnbeamter,FALSE,NA,bundesbahnbeamter
oberstleutnant i g,FALSE,NA,oberstleutnant i g
oekologe,FALSE,NA,oekologe
justitiar,FALSE,NA,justitiar
geschaeftfuehrendes vorstandsmitglied,FALSE,NA,geschaeftfuehrendes vorstandsmitglied
leitender angestellter mdb,FALSE,NA,leitender angestellter mdb
ministerpraesident a d mdb,FALSE,NA,ministerpraesident a d mdb
pressereferent,FALSE,NA,pressereferent
verwaltungsjurist,FALSE,NA,verwaltungsjurist
installateur heizungsbauer,FALSE,NA,installateur heizungsbauer
korrektorin,FALSE,NA,korrektorin
anlageberater,FALSE,NA,anlageberater
baukaufmann mdb,FALSE,NA,baukaufmann mdb
realschuldirektor,FALSE,NA,realschuldirektor
vizepraesident des bundesgesundheitsamtes,FALSE,NA,vizepraesident des bundesgesundheitsamtes
wissenschaftlicher angestellter,FALSE,NA,wissenschaftlicher angestellter
journalist diplom volkswirt,FALSE,NA,journalist diplom volkswirt
leitender regierungsdirektor,FALSE,NA,leitender regierungsdirektor
physiker,FALSE,NA,physiker
landwirtschaftsdirektor a d mdb,FALSE,NA,landwirtschaftsdirektor a d mdb
betriebswirt,FALSE,NA,betriebswirt
landwirt bauunternehmer,FALSE,NA,landwirt bauunternehmer
amtmann notardienst mdb,FALSE,NA,amtmann notardienst mdb
bundesminister fuer wirtschaft,FALSE,NA,bundesminister fuer wirtschaft
diplom sozialwissenschaftler,FALSE,NA,diplom sozialwissenschaftler
schlossermeister ingenieur grad,FALSE,NA,schlossermeister ingenieur grad
richter am amtsgericht,FALSE,NA,richter am amtsgericht
angestellter mdb,FALSE,NA,angestellter mdb
maurer,FALSE,NA,maurer
vertreter,FALSE,NA,vertreter
beratender ingenieur fuer bauwesen mdb,FALSE,NA,beratender ingenieur fuer bauwesen mdb
abteilungsleiter,FALSE,NA,abteilungsleiter
oberstudienrat a d,FALSE,NA,oberstudienrat a d
buergermeister a d,FALSE,NA,buergermeister a d
diplomkaufmann wirtschaftsberater,FALSE,NA,diplomkaufmann wirtschaftsberater
rektor,FALSE,NA,rektor
elektromechaniker,FALSE,NA,elektromechaniker
lehrerin,FALSE,NA,lehrerin
lehramtsanwaerter,FALSE,NA,lehramtsanwaerter
konditormeister,FALSE,NA,konditormeister
regierungsangestellter,FALSE,NA,regierungsangestellter
technischer kaufmann,FALSE,NA,technischer kaufmann
referentin fuer einkaufsmarktforschung,FALSE,NA,referentin fuer einkaufsmarktforschung
diplom psychologe,FALSE,NA,diplom psychologe
parlamentarischer geschaeftsfuehrer,FALSE,NA,parlamentarischer geschaeftsfuehrer
diplom chemiker raffinerieleiter,FALSE,NA,diplom chemiker raffinerieleiter
forstarbeiter,FALSE,NA,forstarbeiter
aussenstellenleiter,FALSE,NA,aussenstellenleiter
familienrichter,FALSE,NA,familienrichter
technischer angestellter mdb,FALSE,NA,technischer angestellter mdb
staedtischer rechtsrat,FALSE,NA,staedtischer rechtsrat
journalistin mdb,FALSE,NA,journalistin mdb
richterin a d,FALSE,NA,richterin a d
polizeiobermeister,FALSE,NA,polizeiobermeister
verwaltungsangestellter,FALSE,NA,verwaltungsangestellter
geschaeftsfuehrerin,FALSE,NA,geschaeftsfuehrerin
ministerialdirektor,FALSE,NA,ministerialdirektor
buchdruckermeister,FALSE,NA,buchdruckermeister
abteilungsdirektor,FALSE,NA,abteilungsdirektor
staatssekretaer a d mdb,FALSE,NA,staatssekretaer a d mdb
selbstaendiger versicherungskaufmann,FALSE,NA,selbstaendiger versicherungskaufmann
professor rechte mdb,FALSE,NA,professor rechte mdb
stukkateurmeister,FALSE,NA,stukkateurmeister
bundesminister a d,FALSE,NA,bundesminister a d
floristin,FALSE,NA,floristin
diplom paedagogin,FALSE,NA,diplom paedagogin
historiker mdb,FALSE,NA,historiker mdb
maschinenbaumeister diplomhandelslehrer,FALSE,NA,maschinenbaumeister diplomhandelslehrer
oberamtsrat a d mdb,FALSE,NA,oberamtsrat a d mdb
studiendirektor a d mdb,FALSE,NA,studiendirektor a d mdb
diplomphysiker,FALSE,NA,diplomphysiker
feinmechaniker,FALSE,NA,feinmechaniker
landesminister a d,FALSE,NA,landesminister a d
stellmacher,FALSE,NA,stellmacher
paedagogischer hochschulprofessor,FALSE,NA,paedagogischer hochschulprofessor
industriekaufmann mdb,FALSE,NA,industriekaufmann mdb
gemeindedirektor a d,FALSE,NA,gemeindedirektor a d
zahnaerztin,FALSE,NA,zahnaerztin
ingenieur grad fuer landbau mdb,FALSE,NA,ingenieur grad fuer landbau mdb
bundesbahnoberinspektor,FALSE,NA,bundesbahnoberinspektor
forstmann,FALSE,NA,forstmann
schulraetin,FALSE,NA,schulraetin
oberstudienraetin,FALSE,NA,oberstudienraetin
ministerialrat a d,FALSE,NA,ministerialrat a d
facharzt fuer chirurgie,FALSE,NA,facharzt fuer chirurgie
textilkaufmann,FALSE,NA,textilkaufmann
technischer angestellter,FALSE,NA,technischer angestellter
oeffentlich bestellter vermessungsingenieur,FALSE,NA,oeffentlich bestellter vermessungsingenieur
technischer fernmeldesekretaer,FALSE,NA,technischer fernmeldesekretaer
pfleger,FALSE,NA,pfleger
beigeordneter stadt koblenz,FALSE,NA,beigeordneter stadt koblenz
sozialpaedagoge grad supervisor,FALSE,NA,sozialpaedagoge grad supervisor
major a d,FALSE,NA,major a d
diplom chemiker,FALSE,NA,diplom chemiker
meisterin landwirtschaftlichen hauswirtschaft,FALSE,NA,meisterin landwirtschaftlichen hauswirtschaft
diplom volkswirt mdb,FALSE,NA,diplom volkswirt mdb
rechtsanwalt hochschullehrer,FALSE,NA,rechtsanwalt hochschullehrer
physik ingenieur grad,FALSE,NA,physik ingenieur grad
bundesbankamtsinspektor a d,FALSE,NA,bundesbankamtsinspektor a d
studienrat mdb,FALSE,NA,studienrat mdb
verwaltungsleiter,FALSE,NA,verwaltungsleiter
wissenschaftlicher mitarbeiter mdb,FALSE,NA,wissenschaftlicher mitarbeiter mdb
verwaltungsdirektor,FALSE,NA,verwaltungsdirektor
kuenstlerin,FALSE,NA,kuenstlerin
giessereileiter diplom ingenieur,FALSE,NA,giessereileiter diplom ingenieur
mdb landwirt,FALSE,NA,mdb landwirt
diplom politologe hilfsreferent,FALSE,NA,diplom politologe hilfsreferent
bankkaufmann,FALSE,NA,bankkaufmann
polizeioberkommissar,FALSE,NA,polizeioberkommissar
postoberinspektor a d mdb,FALSE,NA,postoberinspektor a d mdb
studienrat diplomhandelslehrer,FALSE,NA,studienrat diplomhandelslehrer
bundestagsvizepraesidentin verlagskaufmann,FALSE,NA,bundestagsvizepraesidentin verlagskaufmann
steuerberater wirtschaftspruefer,FALSE,NA,steuerberater wirtschaftspruefer
stadtrat,FALSE,NA,stadtrat
sonderschullehrer,FALSE,NA,sonderschullehrer
diplom ingenieur markscheider,FALSE,NA,diplom ingenieur markscheider
oberpostdirektor a d mdb,FALSE,NA,oberpostdirektor a d mdb
kinderarzt,FALSE,NA,kinderarzt
notar,FALSE,NA,notar
direktor bayerischen bauernverband mdb,FALSE,NA,direktor bayerischen bauernverband mdb
mdb studienrat,FALSE,NA,mdb studienrat
vorstandsvorsitzender mdb,FALSE,NA,vorstandsvorsitzender mdb
lehrer studienassessor,FALSE,NA,lehrer studienassessor
glasermeister,FALSE,NA,glasermeister
oberforstrat,FALSE,NA,oberforstrat
rektor landwirt,FALSE,NA,rektor landwirt
graphiker,FALSE,NA,graphiker
kunsterzieher,FALSE,NA,kunsterzieher
rechtsanwaeltin,FALSE,NA,rechtsanwaeltin
hochschulprofessor,FALSE,NA,hochschulprofessor
gymnasiallehrer,FALSE,NA,gymnasiallehrer
ausbildungsleiter,FALSE,NA,ausbildungsleiter
landwirt u winzer,FALSE,NA,landwirt u winzer
baecker,FALSE,NA,baecker
krankenschwester hausfrau,FALSE,NA,krankenschwester hausfrau
ministerialrat a d,FALSE,NA,ministerialrat a d
versicherungsangestellter,FALSE,NA,versicherungsangestellter
diplom holzwirt,FALSE,NA,diplom holzwirt
journalistin,FALSE,NA,journalistin
oberlehrer a d mdb,FALSE,NA,oberlehrer a d mdb
bundeskanzler,FALSE,NA,bundeskanzler
aussenhandelskaufmann,FALSE,NA,aussenhandelskaufmann
evangelischer pfarrer,FALSE,NA,evangelischer pfarrer
systemanalytikerin,FALSE,NA,systemanalytikerin
landwirt geschaeftsfuehrer,FALSE,NA,landwirt geschaeftsfuehrer
oberbuergermeister a d,FALSE,NA,oberbuergermeister a d
student rechtswissenschaft,FALSE,NA,student rechtswissenschaft
stellvertretender krankenhausdirektor,FALSE,NA,stellvertretender krankenhausdirektor
rechtsanwalt regierungsrat a d mdb,FALSE,NA,rechtsanwalt regierungsrat a d mdb
parlamentarischer staatssektaer,FALSE,NA,parlamentarischer staatssektaer
diplompolitologe,FALSE,NA,diplompolitologe
land forstwirt,FALSE,NA,land forstwirt
dozent mdb,FALSE,NA,dozent mdb
volljurist,FALSE,NA,volljurist
ingenieurin,FALSE,NA,ingenieurin
oberrechtsrat a d,FALSE,NA,oberrechtsrat a d
bankdirektor,FALSE,NA,bankdirektor
student elektrotechnik,FALSE,NA,student elektrotechnik
staatsminister a d mdb,FALSE,NA,staatsminister a d mdb
wissenschaftlicher referent,FALSE,NA,wissenschaftlicher referent
professor politischen wissenschaft,FALSE,NA,professor politischen wissenschaft
selbstaendiger unternehmer,FALSE,NA,selbstaendiger unternehmer
richter,FALSE,NA,richter
verwaltungsamtmann,FALSE,NA,verwaltungsamtmann
regierungsassessor,FALSE,NA,regierungsassessor
pfarrdiakon,FALSE,NA,pfarrdiakon
bevollmaechtigter,FALSE,NA,bevollmaechtigter
