occupation,original_occupation,matched_kldb_code,matched_kldb_title,original_matched_kldb_title,similarity_score
heizungsbau meister,heizungsbaumeister,34293,hand werk meister heizungsbau,handwerksmeister ofen und luftheizungsbau,0.9993876
diplom fach wirt,diplom verwaltungsfachwirt,71403,fach wirt,fachwirt allgemein,0.9993871
diplom staat wissenschaftler,diplomstaatswissenschaftler,91314,diplom wissenschaftler,diplom staatswissenschaftler außenpolitik,0.99938446
berater finanzierung,berater unternehmensfinanzierung,72113,finanzierung berater parka,finanzierungsberater bausparkasse,0.9993833
landes,landes behindertenbeauftragte,81594,tier,tierärztliche r direktor,0.99938303
ober verwaltung inspektor,oberverwaltungsinspektor,73154,ober verwaltung richterin,oberverwaltungsrichterin,0.9993776
prakt ische arzt,praktischer tierarzt,43134,medizin ische,medizinische r informatiker arzt ärztin,0.99937755
diplom wirt schaft lehrer,diplom landwirtschaftslehrer,84213,land wirt schaft lehrer,landwirtschaftslehrer,0.99937624
diplom wirtschaftlerin,diplom haushaltswirtschaftlerin,42313,energie wirtschaftler,energiewirtschaftler,0.999376
kaufmännischer angestellter,kaufmännischer angestellter,71302,kaufmännische r angestellte r,kaufmännische r angestellte r,0.99937344
technologie berater,technologieberater,43224,cad berater,cad berater,0.99937093
pelzkauf mann,pelzkaufmann,62212,pelzkauf mann handel,pelzkaufmann frau einzelhandel,0.99937016
stadt altenpfleger,stadtaltenpfleger,54152,boot pfleger,bootspfleger,0.99937004
wissenschaft gestell,wissenschaftlicher universitaetsangestellter,73201,verwaltung gehilfe,verwaltungsgehilfe gehilfin,0.99936867
psycho loge,psychologe,81624,psycho loge login,psychologe psychologin,0.99936366
diplomandin swiss schaft,diplomandin verwaltungswissenschaft,91224,mast swiss schaft,master of arts geschichtswissenschaft,0.99936205
bunde betriebs prüfer,bundesbetriebsprüfer,72244,betriebs prüfer,betriebsprüfer,0.9993598
studentin schaft,studentin rechtswissenschaft,23322,land schaft fotografin,landschaftsfotografin,0.999357
gewerk schaft sekret,gewerkschaftssekretaer,71224,gewerk schaft fuhr,gewerkschaftsführer,0.99935645
selbstständiger wirt schaft berater,selbstständiger wirtschaftsberater,11213,fach berater wirt schaft,fachberater tierwirtschaft,0.9993564
völkerrechtlerin,völkerrechtlerin,91264,völkerkundlerin,völkerkundlerin,0.999355
leiter parks burg,leiter des städt fuhrparks regensburg,83193,leiter tages stätte,leiter kindertagesstätten,0.99935484
diplom agrar ingenieur,diplomagraringenieur,11104,agrar ingenieur,agraringenieur,0.9993527
bezirk stadt rat,bezirksstadtrat bau wohnen,72194,bezirk leiter run,bezirksleiter versicherung,0.999351
schulrätin,schulrätin,71402,schulsekretärin,schulsekretärin,0.999351
leiter arbeit ch kreis,leiter des amtes jugendarbeit kirchenkreis herford,84223,arbeit sa leiter,arbeitsanleiter,0.99935097
export kauffrau,exportkauffrau,61212,export kaufmann,exportkaufmann frau,0.99934965
edv software entwickler,edv softwareentwickler,43414,software entwickler,softwareentwickler,0.99934834
exam kran ken schwester,exam krankenschwester,81313,kran ken schwester,krankenschwester pfleger intensivmedizin,0.99934745
gespräch eutin,gesprächstherapeutin,81723,arbeit eutin,arbeits und beschäftigungstherapeutin,0.99934727
diplom chemikerin,diplomchemikerin,41384,natur chemikerin,natur und wirkstoffchemikerin,0.99934703
mitglied tag,mitglied des sächsischen landtags,24122,steuer mann,steuermann frau,0.99934673
diplom schaft pädagoge,diplom wirtschaftspädagoge,84223,ingenieur pädagoge haltung,ingenieurpädagoge pädagogin instandhaltung u montage,0.9993462
beratender ingenieur,beratender ingenieur,25134,beratende r ingenieur,beratende r ingenieur,0.99934226
fach beraterin wesen,fachberaterin öffentliches gesundheitswesen,29253,technikerin wesen,technikerin molkereiwesen,0.9993422
raumfahrt,raumfahrt technik,25234,raumfahrt ingenieur,raumfahrtingenieur,0.9993417
gross handelskauf mann,grosshandelskaufmann,61203,handelskauf mann,handelskaufmann frau,0.9993411
leiterin service,leiterin familienservice,61194,service leiterin,serviceleiterin,0.9993399
betriebs rat vorsitz,betriebsratvorsitzende,71303,betriebs wirtin,betriebswirtin,0.99933964
konflikt forscherin,konfliktforscherin,91344,konsum forscherin,konsumforscherin,0.9993388
diplom pädagogin,diplompädagogin,91334,fach pädagoge,fachpädagoge pädagogin frühkindl erziehung kind v,0.9993372
abteilung leiter alp,abteilungsleiter sozialpolitik dgb,22193,abteilung leiter stoff technik,abteilungsleiter kunststoff u kautschuktechnik,0.999337
beruf akademie,berufsakademie student,81214,arzt biologie,arzt ärztin mikrobiologie,0.99933606
it system elektronik,it systemelektroniker,26302,system elektronik,systemelektroniker,0.9993333
hotel kauffrau,hotelkauffrau,71413,euro kaufmann,eurokaufmann frau,0.99933237
freier schaft journalist,freier wirtschaftsjournalist,93323,land schaft maler,landschaftsmaler,0.99933183
erster stadt rat,erster stadtrat,71214,stadt rat,stadtrat rätin,0.9993295
kaufm angestellte,kaufm angestellte,73202,verwaltung fachangestellte,verwaltungsfachangestellte r,0.99932706
pol schaft sekretär,polit gewerkschaftssekretär,61213,land referent schaft,länderreferent außenwirtschaft,0.9993263
verein betreuer,vereinsbetreuer,83112,spielplatz betreuer,spielplatz und spielmobilbetreuer,0.9993263
ehemalige unternehmerin,ehemalige unternehmerin,71104,unternehmerin,unternehmerin,0.9993235
unternehmens analyst,unternehmensanalyst,71303,betriebs wirt,betriebswirt,0.99932337
kaufmaennische angestellte,kaufmaennische angestellte,71302,kaufmännische r angestellte r,kaufmännische r angestellte r,0.9993227
betriebs ökonom,betriebsökonom hotel,73223,betriebs wirt ökonom,betriebswirt schwerp gesundheitsökonomi staatl gepr,0.99932164
telekom ion,telekommunikation,26312,telekom ion elektronik,telekommunikationselektroniker,0.9993203
referentin arbeit,referentin öffentlichkeitsarbeit,11101,rübe arbeit,rübenarbeiter,0.9993201
projekt referentin leitung,projektreferentin geschäftsleitung,71314,planung managerin,planungsmanagerin,0.99931973
verwaltung amt rat,verwaltungsamtsrat,73204,verwaltung wirt,verwaltungswirt,0.99931896
diplom chemiker,diplomchemiker,41384,natur chemiker,natur und wirkstoffchemiker,0.9993171
haupt kommissarin,hauptkommissarin,53213,sicherheit kommissarin,sicherheitskommissarin polizei,0.99931574
sonderpädagogin,sonderpädagogin,83133,sonderpädagoge,sonderpädagoge pädagogin,0.9993141
finanzanlage fach mann,finanzanlagenfachmann,72123,finanz fach wirtin,finanzfachwirtin,0.99931365
film kauffrau,filmkauffrau,92302,film kaufmann,filmkaufmann frau,0.9993129
projekt entwicklerin,projektentwicklerin,43414,software entwicklerin,softwareentwicklerin,0.99931276
jugend medizin,jugendmedizin,83123,jugend sekretär,jugendsekretär,0.9993098
haupt geschäft fuhr rhein,hauptgeschäftsführer kzv nordrhein,51593,fuhrpark meisterin,fuhrparkmeisterin,0.9993088
vereid prüfer,vereidigter buchprüfer,27312,euro prüfer,europäische r materialprüfer,0.99930835
regierung präsident,regierungspräsident,27104,projektierung ingenieur,projektierungsingenieur iuk technik,0.99930817
landes konservator,landeskonservator,84503,landes trainer,landestrainer,0.99930763
dj,dj,21222,boss,bossierer stein,0.9993074
diplom schaft ing uri,diplom wirtschaftsingenieurin,27303,dipl schaft ing uri,dipl wirtschaftsingenieurin technisches management ba,0.99930614
beruf betreuer,berufsbetreuer,83123,gruppe betreuer arbeit,gruppenbetreuer jugendarbeit,0.99930567
landes beamter,landesbeamter,26312,beamter ische,beamter beamtin elektronische aufklärung mittl dienst,0.99930495
referentin markt forschung,referentin fuer einkaufsmarktforschung,84304,forschung referentin,forschungsreferentin psychologie,0.9993049
versicherung fach frau,versicherungsfachfrau,72133,feuer versicherung fach mann,feuerversicherungsfachmann frau,0.9993035
verwaltung amt mann,verwaltungsamtmann,73204,verwaltung wirt,verwaltungswirt,0.9993024
stel bereich direktor,stellv fachbereichsdirektor,62193,ware bereich leiterin,warenbereichsleiterin,0.9993016
steuerrecht,steuerrechtlerin,41343,steuer lage,steuer er gasanlagen,0.9993008
staat ken pfleger,staatlich examinierter krankenpfleger,12132,grab pfleger,grabpfleger,0.99929947
umwelt ingenieur,umweltingenieur,81484,umwelt medizin,umweltmediziner,0.99929726
präsident gesellschaft,präsident auslandsgesellschaft,63222,gesellschaft,gesellschafter hotel,0.9992961
beruf rat,berufsmäßiger stadtrat,84503,beruf trainer,berufstrainer sport,0.99929595
student schaft wissenschaft,student wirtschaftswissenschaften,11184,agrar ingenieur schaft wissenschaft,agraringenieur wirtschaftswissenschaften,0.9992956
gesc leiter,geschaeftsstellenleiter,83193,hort leiter,hortleiter,0.9992917
kaufmännisch angestellter,kaufmännisch angestellter,71302,kaufmännische r angestellte r,kaufmännische r angestellte r,0.9992916
dia lyse technik,dialysetechniker,26303,zahl technik,zählertechniker,0.99929017
baeck meister,baecker und konditormeister,34102,quartier meister,quartiermeister,0.99928874
landes minister,landesminister a d,84503,landes trainer,landestrainer,0.9992876
familie richter,familienrichter,93213,objekt richter,objekteinrichter,0.9992858
bürgerrechtler,bürgerrechtler,73184,wirtschaftsrechtler,wirtschaftsrechtler,0.9992829
vorstands fahrer,vorstandsfahrer,71104,vorstands mitglied,vorstandsmitglied,0.99927974
sozi alb triebs wirtin,sozialbetriebswirtin,71513,person alb triebs wirtin,personalbetriebswirtin fachschule,0.99927956
mitglied ch tages,mitglied des deutschen budestages,24212,schlags ch re arbeit,schlagscherenarbeiter,0.99927926
haus mann,hausmann,21112,berg mann,berg maschinenmann frau,0.99927855
baubio loge,baubiologe,31164,baubio loge login,baubiologe biologin,0.9992783
unternehmens entwickler,unternehmensentwickler,27314,prüfverfahren entwickler,prüfverfahrensentwickler,0.9992776
mueller meister,muellermeister,82493,bestatter meister,bestattermeister,0.9992762
büro kauffrau,bürokauffrau,71402,büro kaufmann,bürokaufmann frau,0.99927384
radio loge,radiologe i r,81234,radio loge login,radiologe radiologin,0.99927276
it fach mann,it fachmann,61142,automat fach mann,automatenfachmann frau,0.99927235
tko leiter,tko leiter,63142,reis leiter,reiseleiter,0.9992717
verwaltung beamter,verwaltungsbeamter,73202,behörde bedienstete,behördenbedienstete r,0.9992715
kreis verwaltung referent,kreisverwaltungsreferent,73184,kirche verwaltung jurist,kirchenverwaltungsjurist,0.99927014
beruf offizier,berufsoffizier,52413,schiff sicherheit offizier,schiffssicherheitsoffizier fh,0.999269
wirt schaft publizist,wirtschaftspublizist,92414,wirt schaft journalistin,wirtschaftsjournalistin,0.99926853
sicherheit politik,sicherheitspolitik,53112,sicherheit,sicherheitstechnische r assistent,0.99926823
it produkt manager,it produktmanager,92113,produkt manager,produktmanager,0.99926716
realschulkonrektor,realschulkonrektor,84194,realschulrektor,realschulrektor,0.99926674
spedit ion kauffrau,speditionskauffrau,51622,spedit ion kaufmann,speditionskaufmann frau,0.9992653
gesa schulrektorin,gesamtschulrektorin,84194,gesa schuldirektorin,gesamtschuldirektorin,0.9992652
diplom ron,diplom ing mechatronik,26112,assistent ron,assistent mechatronik,0.99926513
groß und außenhand ska mann,groß und außenhandelskaufmann,61212,groß außenhand ska mann,groß außenhandelskaufmann frau,0.9992643
vorsitz gericht,vorsitzender richter am landgericht a d,94383,vortrag meister,vortragsmeister,0.9992626
industrie kauffrau,industriekauffrau,71314,organisation kaufmann,organisationskaufmann frau,0.9992586
diplom sängerin,diplom chorsängerin,94124,sängerin,sängerin,0.99925673
personalmanagement ökonomin,personalmanagementökonomin,63123,sport management ökonomin,sportmanagementökonomin fachschule,0.99925643
reformware fach kaufmann,reformwarenfachkaufmann,71403,fach kaufmann,fachkaufmann frau sekretariat,0.9992528
prüfung assistent,prüfungsassistent,81182,versorgung assistent,versorgungsassistent,0.9992528
hotel unternehmerin,hotelunternehmerin,51694,taxi unternehmerin,taxiunternehmerin,0.99925125
bibliothek ar inspektor,bibliothekarsinspektor anwaerterin,73322,bibliothek assistent,bibliotheksassistent,0.99924827
beruf schuh,berufsschuhllehrer,28333,schuh gestalt,schuhgestalter,0.9992468
kaufm angestellter,kaufm angestellter,73202,verwaltung fachangestellte,verwaltungsfachangestellte r,0.9992465
mikro bio loge,mikrobiologe,41264,mikro bio loge login,mikrobiologe biologin,0.9992384
handel schulrat,handelsschulrat,84194,mitte schuldirektor,mittelschuldirektor,0.9992372
edv kaufmann,edv kaufmann,43112,informatik kaufmann,informatikkaufmann frau,0.9992371
wissenschaft ch tag,wissenschaftlich mitarbeiter deutschen bundestag,71314,wissenschaft organisator,wissenschaftsorganisator,0.9992371
stellvertreten mitglied,stellvertretendes vorstandsmitglied,84194,stellvertreten,stellvertretende r schulleiter,0.99923617
kaufmaennischer angestellter,kaufmaennischer angestellter,71302,kaufmännische r angestellte r,kaufmännische r angestellte r,0.999236
technik berater,technikberater,11113,land technik berater,landtechnikberater,0.99923587
schatz meister,schatzmeister,61132,preis schatz,preisschätzer,0.99923533
diplom graph,diplom geograph,23414,druck ingenieur,druckingenieur,0.99923515
mol loge,molekularbiologe,43102,assistent ische,assistent elektronisches rechnen,0.9992345
orden esso,ordentlicher professor pädagog psychologie,84394,direktor esso,direktor und professor,0.99923176
projekt manager entwicklung,projektmanager stadtentwicklung,71314,planung manager,planungsmanager,0.9992301
profess,professsor,71524,hochs,hochschulberater,0.9992296
leitender schuldirektor,leitender gesamtschuldirektor,84194,mitte schuldirektor,mittelschuldirektor,0.99922764
rad akteur,radakteur,92494,ch fred akteur,chefredakteur,0.9992271
stadt rätin,stadträtin,11212,tier wirtin,tierwirtin,0.99922454
stadt verwaltung rat,stadtverwaltungsrat,73184,kirche verwaltung jurist,kirchenverwaltungsjurist,0.9992233
verwaltung ober inspektor,verwaltungsoberinspektor,73154,ober verwaltung richterin,oberverwaltungsrichterin,0.99922216
bunde geschäft leiter,bundesgeschäftsleiter politik,61194,gebiet verkauf leiter,gebietsverkaufsleiter,0.9992215
mineralöl kaufmann,mineralölkaufmann,61282,mineralöl händlerin,mineralölhändlerin,0.9992206
diplom planung,diplom ing arbeitsplanung,27303,technik ion planung,techniker produktionsplanung,0.99921834
geo loge,geologe,25122,anlage fuhr,anlagenführer,0.999217
fuer forschung,fuer forschung,23322,wissenschaft fotografin,wissenschaftsfotografin,0.99921554
bio loge,biologe,51332,stau ivo,stauereivorarbeiter,0.9992128
unternehmens makler,unternehmensmakler,71104,unternehmens manager,unternehmensmanager,0.9992127
contract managerin,contract managerin,27303,process managerin,process managerin,0.9992117
richterin gericht,richterin am amtsgericht,73154,verwaltung richterin,verwaltungsrichterin,0.99920946
leiter amte,leiter des verwaltungsamtes,73294,amt leiter,amtsleiter,0.99920785
stadt verbands präsident,stadtverbandspräsident,51593,bahn betriebs meister,bahnbetriebsmeister,0.9992051
automatisierung technik,automatisierungstechniker,26123,automatisierung technik technik,automatisierungstechniker elektrotechnik,0.99920326
diplom wirtschaftler,diplom finanzwirtschaftler,94404,diplom film wirtschaftler,diplomfilmwirtschaftler uni,0.9992027
computer graphikerin,computergraphikerin,92304,programm managerin,programmmanagerin verlag,0.9992011
einrichtung berater,einrichtungsberater,62252,einrichtung fach berater,einrichtungsfachberater,0.99919945
lehrer re,lehrer höheren schulen,84583,ski lehrer,ski und langlauflehrer,0.9991954
diplom historikerin,diplomhistorikerin,91224,historikerin,historikerin,0.99919486
diplom ökonomin,diplom finanzökonomin,63404,kultur ökonomin,kulturökonomin,0.99919486
rechtanwalt,rechtanwalt,73134,patentanwalt,patentanwalt anwältin,0.99919325
wohnung wirt schaft kaufmann,wohnungswirtschaftskaufmann,42312,kaufmann wirt schaft,kaufmann frau entsorgungs u recyclingwirtschaft,0.9991928
diplom loge,diplom biologe,42124,diplom hydro loge,diplomhydrologe,0.9991927
schiff ahr,schiffahrtskaufmann,11101,acker arbeit,ackerarbeiter,0.9991898
betriebs eisenbahn,betriebseisenbahner,51593,werk bahn betriebs meister,werkbahnbetriebsmeister,0.9991866
kommunalangestellter,kommunalangestellter,73312,fachangestellte,fachangestellte r archiv,0.9991866
erster gewerk schaft,erster gewerkschaftsbevollmaechtigter,71224,gewerk schaft fuhr,gewerkschaftsführer,0.9991825
diplom psycho loge,diplompsychologe,81624,neuro psycho loge login,neuropsychologe psychologin,0.99918216
weiter bildung lehrer,weiterbildungslehrer,84213,stim bildung lehrer,stimmbildungs und sprachheilkundelehrer,0.9991821
leiter dung büro,leiter des verbindungsbüros des europäischen parlaments,72194,leiter büro run,leiter vertragsbüro versicherung,0.9991807
examinierte gesundheits,examinierte gesundheits,41343,raffination verfahrens technik,raffinationsverfahrenstechniker,0.9991796
regierung schuldirektorin,regierungsschuldirektorin,29293,konservierung meisterin,konservierungsmeisterin,0.9991784
kaufmännisch wissens cha,kaufmännisch wissenschaftlicher angestellter,71303,kaufmännische wirtin,kaufmännische r fachwirtin,0.9991781
beim,beim,91234,mitte,mittelalterarchäologe archäologin,0.9991746
theo loge,theologe,83314,theo loge login,theologe theologin,0.9991727
diplom technik,diplom ingenieur elektrotechnik,26233,bachelor technik,bachelor of science elektrische energietechnik,0.999171
cand phil,cand phil,51332,stau ivo,stauereivorarbeiter,0.9991685
naturpark leiter,naturparkleiter,11732,wildpark hut,wildparkhüter,0.99916667
reallehrer,reallehrer,84184,heimlehrer,heimlehrer,0.9991653
lehrerin kolleg,lehrerin am berufskolleg,84124,klassen lehrerin,klassenlehrerin,0.9991644
angestellter technisch vertrieb,angestellter technisch vertrieb,61124,gartenbau vertriebs ingenieur,gartenbauvertriebsingenieur,0.99916416
medizin aldi rektor,medizinaldirektor,81294,medizin leiter,medizinisch technische r laborleiter,0.99916303
pädagogin,pädagogin,91334,reis pädagoge,reisepädagoge pädagogin,0.9991623
sonderschullehrer tell,sonderschullehrer vollfreistellung,84304,hochschullehrer run,hochschullehrer restaurierung,0.99916196
verbands referent,verbandsreferent,84503,verbands trainer,verbandstrainer,0.9991616
bunde finanz minister,bundesfinanzminister,71214,bunde präsident,bundespräsident,0.99915695
support technik,supporttechniker,25132,service technik,servicetechniker,0.99915695
bezirk stadt rätin,bezirksstadträtin a d,72113,bezirk leiter parka,bezirksleiter bausparkasse,0.9991563
diplom theo loge,diplomtheologe,83314,theo loge login,theologe theologin,0.999156
amt gericht direktor,amtsgerichtsdirektor,73294,amt leiter,amtsleiter,0.9991558
lebensmittel techno login,lebensmitteltechnologin,29203,lebensmittel technik,lebensmitteltechniker,0.99915546
bundestag vize präsi dentin,bundestagsvizepräsidentin,71214,bundestag präsi dentin,bundestagspräsidentin,0.9991447
diplom fach wirtin,diplom verwaltungsfachwirtin,71303,industrie fach wirtin,industriefachwirtin,0.999143
region alma nager,regionalmanager,71514,person alma nager,personalmanager,0.99914277
leitender kaufmaennischer angestellter,leitender kaufmaennischer angestellter,71302,kaufmännische r angestellte r,kaufmännische r angestellte r,0.99913645
steuer fach gehilfin,steuerfachgehilfin,72302,steuer beratung gehilfe,steuerberatungsgehilfe gehilfin,0.9991364
diplom bio loge,diplombiologe,42124,diplom hydro loge,diplomhydrologe,0.9991339
diplom mathematik,diplommathematiker,41184,bio mathematik,biomathematiker,0.99913377
sekret,sekretaerin,94404,producer,producer,0.9991331
univers esso,universitaetsprofessorin,84394,direktor esso,direktor und professor,0.99913096
professor wirtschaftslehre,professor volkswirtschaftslehre,71303,bachelor wirtschaftslehre,bachelor of arts betriebswirtschaftslehre,0.9991288
call center agent,call center agent,92122,callcenter agent,callcenteragent,0.99912834
touristik ion,touristik konzeptioner,63112,touristik,touristik fachkraft,0.99912643
kauffrau handel,kauffrau einzelhandel,62382,kaufmann handel ware,kaufmann frau einzelhandel diät reformwaren lebensm,0.99912477
diplom schaft informatikerin,diplom wirtschaftsinformatikerin,43113,bachelor schaft informatik,bachelor of science wirtschaftsinformatik,0.99912447
präsident ch tages,präsident des deutschen bundestages,24212,schlags ch re arbeit,schlagscherenarbeiter,0.99912417
päd mitarbeit hilfe,päd mitarbeiterin jugendhilfe,34312,kläranlage arbeit,kläranlagenarbeiter,0.9991204
ober schwester,oberschwester,81393,klinik ober schwester,klinikoberschwester pfleger,0.9991201
projekt koordinatorin,projektkoordinatorin,43323,system koordinatorin,systemkoordinatorin edv,0.99911934
angeste agentur,angestellter bundesagentur arbeit,73212,angeste anstalt,angestellte r bundesanstalt arbeit,0.99911904
steuer amt mann,steueramtmann,72303,steuer fach wirt,steuerfachwirt,0.9991185
arzt orthopädie,arzt kieferorthopädie,82593,orthopädie technik meister,orthopädietechnikermeister,0.9991166
beton hand werk,betonhandwerk,53124,hand werk,handwerkssachverständige r technisch,0.99911624
einzel handel,einzelhandel,62103,einzel handel assistent,einzelhandelsassistent,0.9991152
studie direktorin,studiendirektorin,83394,mission direktorin,missionsdirektorin,0.99911505
kreis medizin aldi rektor,kreismedizinaldirektor,81484,sport medizinerin,sportmedizinerin,0.9991148
setzer,setzerin,23212,foto setzer,fotosetzer,0.99911445
moebelt ischl,moebeltischler,53213,bea schaft kontrolle,beamt er wirtschaftskontrolle geh dienst,0.99911153
raffinerie leiter,raffinerieleiter,51522,signal führerin,signalführerin,0.99911094
arbeitssuche,arbeitssuchend,62102,verkaufskraft,verkaufskraft bbig m hwo,0.9991094
selbstständiger dip loge,selbstständiger diplom biologe,51522,zug prüfer,zugprüfer,0.99910897
diplom volk wirt,diplomvolkswirt,91404,volk wirt,volkswirt,0.99910766
doktor schaft wissenschaft,doktor wirtschaftswissenschaften,41213,gruppe leiter schaft,gruppenleiter naturwissenschaftlich technisches labor,0.9991055
student wirtschaftslehre,student volkswirtschaftslehre,71303,bachelor wirtschaftslehre,bachelor of arts betriebswirtschaftslehre,0.9991051
bau,bau,51311,ball,ballenmacher versandfertigmacher in,0.99910355
elektro installation hand werk meister,elektroinstallationshandwerksmeister,34293,hand werk meister anlagenbau,handwerksmeister kälteanlagenbau,0.9991028
verlag kauffrau,verlagskauffrau,92302,buch verlag kaufmann,buchverlagskaufmann frau,0.99910206
kaufmännischer leiter,kaufmännischer leiter,71394,kaufmännische leiter,kaufmännische r betriebsleiter,0.9990994
berg,berg ingenieur,25122,zen,zentralenführer,0.9990977
schulrat,schulrat,24513,gerätebau,gerätebau und feintechniker,0.9990975
rechtsanwalt,rechtsanwalts,73134,patentanwalt,patentanwalt anwältin,0.99909276
student technik,student elektrotechnik,31223,karte technik,kartentechniker,0.9990897
marinesoldat,marinesoldat,01402,zeitsoldat,zeitsoldat,0.9990865
fitness eutin,fitnesstherapeutin,81783,sport eutin,sporttherapeutin,0.99908453
fach referent,fachreferent bibliothek,81213,fach assistent,fachassistent hämatologie,0.99908316
abgeordnetenreferent,abgeordnetenreferent,71402,abgeordnetenassistent,abgeordnetenassistent,0.9990819
außenhandel,außenhandel,61212,außenhandel assistent,außenhandelsassistent,0.9990796
kommunikat ion beraterin,kommunikationsberaterin,26312,kommunikat ion elektronikerin,kommunikationselektronikerin,0.9990796
kommunikat ion berater,kommunikationsberater,81614,kommunikat ion berater loge login,kommunikationsberater psychologe psychologin,0.99907845
akademischer rat,akademischer rat,84304,akademische rat,akademische r oberrat rätin hochschule,0.99907756
eva gel ch loge,evangelischer theologe,83314,eva gel loge login,evangelisch e r theologe theologin uni,0.9990762
immobilienkauf frau,immobilienkauffrau,61312,immobilienkauf mann,immobilienkaufmann frau,0.99907446
stadtrecht direktor,stadtrechtsdirektor,73284,stadt kammer,stadtkämmerer kämmerin,0.9990737
tier ärztin,tierärztin,92113,verkauf förderer,verkaufsförderer förderin,0.9990714
brauerei kaufmann,brauereikaufmann,51652,reederei kaufmann,reedereikaufmann frau,0.9990713
agrar uri,agrar ingenieurin,11132,agrar mitte,agrart ass staatl gepr agrarw milchw u lebensmittel,0.9990656
bunde bahn direktor,bundesbahndirektor,52132,tram bahn fuhr,trambahnführer,0.9990639
lead,lead associate retirement,28322,plans,plansattler,0.999063
textilkaufmann,textilkaufmann,62272,automobilkaufmann,automobilkaufmann frau,0.9990625
gesc mitglied,geschaeftfuehrendes vorstandsmitglied,63194,fitness cent leiter,fitnesscenterleiter,0.9990598
edv berat wesen,edv berater gesundheitswesen,43394,edv leiter,edv leiter,0.9990576
steuer beamtin,steuerbeamtin,72303,steuer praktikerin,steuerpraktikerin,0.9990573
bio müll,biomüller,29212,wind müll,windmüller,0.9990565
realschuldirektor,realschuldirektor,84394,hochschuldirektor,hochschuldirektor,0.9990563
verbands sekret,verbandssekretaer,84503,verbands trainer,verbandstrainer,0.9990518
ötv sekretär,ötv sekretär,71402,reis sekretärin,reisesekretärin,0.99905074
unternehmens berater ing ion,unternehmensberater marketingkommunikation,61124,gartenbau vertriebs ing uri,gartenbauvertriebsingenieurin,0.99905026
agrochemie ingenieur,agrochemieingenieur,11193,agrochemie meister,agrochemiemeister,0.9990496
beruf parlament arier,berufsparlamentarier,11232,beruf imker,berufsimker,0.9990484
rechts,rechts,94522,kamera,kamera assistent,0.9990482
diplom sozialwirt,diplomsozialwirt,73223,sozialwirt,sozialwirt,0.999048
geo graph,geograph,23212,druck gestalt,druckgestalter,0.9990467
ethnologin,ethnologin,91264,ethnografin,ethnografin,0.999046
port folio,portfolio manager,72124,port folio nager,portfoliomanager,0.999046
pfarrer tand,pfarrer wartestand,83314,pfarrer,pfarrer katholisch,0.99904466
lager verwalter,lagerverwalter,51312,lager verwalterin lager,lagerverwalterin warenlager,0.9990436
diplom planer,diplom ingenieur stadtplaner,27304,termin planer,terminplaner,0.99904305
verwaltung beamtin,verwaltungsbeamtin,72212,rechnung wesen sachbearbeiter,rechnungswesensachbearbeiter,0.9990427
gewerbe lehrer,gewerbelehrer,84214,gewerbl fach lehrer,gewerbl fachlehrer berufsschulen,0.99904174
managerin,managerin strategischen vertrieb,72144,risk managerin,risk managerin,0.99903935
ober stadt direktor,oberstadtdirektor,73294,anstalt direktor,anstaltsdirektor,0.9990387
rettung sani,rettungssanitaeter,81342,rettung sani tat,rettungssanitäter,0.9990377
spd,spd,11101,magd,magd,0.99903715
päd fachkraft,päd fachkraft,53322,hygiene fachkraft,hygienefachkraft,0.9990369
z zt arbeitslos,z zt arbeitslos,71403,büro triebs wirt,bürobetriebswirt fachschule,0.9990356
wissenschaft ion mitarbeit,wissenschaftlicher fraktionsmitarbeiter grünen,27303,arbeit studie technik,arbeitsstudientechniker,0.99903417
öffentlichkeit arbeit,öffentlichkeitsarbeit,63143,gast fuhr würdigkeit,gästeführer sehenswürdigkeiten,0.9990337
op schwester,op schwester,81313,fach schwester,fachschwester pfleger,0.9990332
gewerk schaft vorsitz,gewerkschafts kreisvorsitzender,71224,gewerk schaft fuhr,gewerkschaftsführer,0.9990319
gemeinschaftsvorsitzender,gemeinschaftsvorsitzender,71104,vorstands mitglied,vorstandsmitglied,0.9990317
außenhandel wirtschaftlerin,außenhandelswirtschaftlerin,27303,arbeit wirtschaftlerin,arbeitswirtschaftlerin,0.999031
diplom ion ingenieur,diplom meliorationsingenieur,41214,bio ingenieur,bioingenieur,0.99902886
leiterin center,leiterin eines servicecenters,84144,leiterin seminar,leiterin studienseminar,0.9990284
immobiliensachverständiger,immobiliensachverständiger,61313,immobiliensachverständige,immobiliensachverständige r,0.9990281
heilpraktikerin therapie,heilpraktikerin psychotherapie,81532,tier heilpraktiker,tierheilpraktiker,0.9990245
kultur anthropologe,kulturanthropologe,91264,kultur anthropologe gi,kulturanthropologe anthropologin,0.99902385
finanz beamtin,finanzbeamtin,26312,beamter ische,beamter beamtin elektronische aufklärung mittl dienst,0.9990235
technischer redakteur,technischer redakteur,83143,haus pfleger,haus und familienpfleger,0.9990227
event manager,eventmanager,63124,sport manager,sportmanager ökonom,0.99901724
ehemaliges,ehemaliges,71524,hochs,hochschulberater,0.99901557
antiquität kaufmann,antiquitätenkaufmann,62522,antiquität händler,antiquitätenhändler,0.9990121
technischer beamter,technischer beamter,53124,technische beamter,technische r aufsichtsbeamter,0.99901175
