"full_name","yob","occupation","female","party","list_state","list_rank","elec_district","elected","elec_year","direct_cand","list_cand","last_name","first_name","age","occ_1","occ_2","occ_3","occ_4","legislator_status","is_legislator","is_only_legislator","legislative_position"
"BARTH, MARGARETA",1954,"rechtsreferendarin",1,"cdu_csu","BW",18,,0,1980,0,1,"BARTH","MARGARETA",26,"rechtsreferendarin",,,,"not_legis",FALSE,FALSE,
"BARTMANN, BERNHARD RICHARD ARNOLD",1943,"sonderschullehrer",0,"greens","BY",34,,0,1980,0,1,"BARTMANN","BERNHARD RICHARD ARNOLD",37,"sonderschullehrer",,,,"not_legis",FALSE,FALSE,
"BARTZ, RALF",1937,"beamter",0,"fdp","",,111,0,1980,1,0,"BARTZ","RALF",43,"beamter",,,,"not_legis",FALSE,FALSE,
"BARZ, HORST",1932,"realschulkonrektor",0,"fdp","SH",7,4,0,1980,1,1,"BARZ","HORST",48,"realschulkonrektor",,,,"not_legis",FALSE,FALSE,
"BARZEL, DR. RAINER CANDIDUS",1924,,0,"cdu_csu","NW",1,,1,1980,0,1,"BARZEL","DR. RAINER CANDIDUS",56,,,,,"only_legis",TRUE,TRUE,"mitglied des deutschen bundestages"
"BASELER, ILSE",1930,"hausfrau",1,"cdu_csu","HH",12,,0,1980,0,1,"BASELER","ILSE",50,"hausfrau",,,,"not_legis",FALSE,FALSE,
"BAUCKMANN, HEINZ UDO PAUL JOSEF",1944,"steueramtmann",0,"cdu_csu","NW",80,,0,1980,0,1,"BAUCKMANN","HEINZ UDO PAUL JOSEF",36,"steueramtmann",,,,"not_legis",FALSE,FALSE,
"BAUER, DR. ERNST WALDEMAR",1926,"professor",0,"fdp","BW",33,165,0,1980,1,1,"BAUER","DR. ERNST WALDEMAR",54,"professor",,,,"not_legis",FALSE,FALSE,
"BAUER, REINHARD",1935,"einzelhandelskaufmann",0,"cdu_csu","BW",23,,0,1980,0,1,"BAUER","REINHARD",45,"einzelhandelskaufmann",,,,"not_legis",FALSE,FALSE,
"BAUER, RUTH MAGDALENA",1933,"hausfrau",1,"cdu_csu","BY",27,,0,1980,0,1,"BAUER","RUTH MAGDALENA",47,"hausfrau",,,,"not_legis",FALSE,FALSE,
"BAUM, GERHART",1932,"bundesinnenminister",0,"fdp","NW",3,59,1,1980,1,1,"BAUM","GERHART",48,"bundesinnenminister",,,,"only_legis",TRUE,TRUE,"bundesinnenminister"
"BAUMANN, HEIDI GISELA",1941,"hausfrau",1,"cdu_csu","NW",52,,0,1980,0,1,"BAUMANN","HEIDI GISELA",39,"hausfrau",,,,"not_legis",FALSE,FALSE,
"BAUMANN, HEINRICH JOSEF",1951,"bauingenieur",0,"greens","BY",27,,0,1980,0,1,"BAUMANN","HEINRICH JOSEF",29,"bauingenieur",,,,"not_legis",FALSE,FALSE,
"BAUMGARTEN, DR. LUDWIG",1944,"wirtschaftsreferent",0,"cdu_csu","BY",44,,0,1980,0,1,"BAUMGARTEN","DR. LUDWIG",36,"wirtschaftsreferent",,,,"not_legis",FALSE,FALSE,
"BAXMANN, ALFRED",1949,"studienrat",0,"spd","NI",70,,0,1980,0,1,"BAXMANN","ALFRED",31,"studienrat",,,,"not_legis",FALSE,FALSE,
"BAYER, ARMIN",1951,"diplomkaufmann",0,"cdu_csu","HE",54,,0,1980,0,1,"BAYER","ARMIN",29,"diplomkaufmann",,,,"not_legis",FALSE,FALSE,
"BAYHA, RICHARD",1929,"landwirt",0,"cdu_csu","HE",10,137,1,1980,1,1,"BAYHA","RICHARD",51,"landwirt",,,,"not_legis",FALSE,FALSE,
"BECK, ERICH",1943,"kriminaloberkommissar",0,"cdu_csu","BW",24,,0,1980,0,1,"BECK","ERICH",37,"kriminaloberkommissar",,,,"not_legis",FALSE,FALSE,
"BECKER, DR. KARL",1923,"facharzt",0,"cdu_csu","HE",20,139,0,1980,1,1,"BECKER","DR. KARL",57,"facharzt",,,,"not_legis",FALSE,FALSE,
"BECKER, DR. PAUL",1929,"rechtsanwalt",0,"fdp","RP",8,,0,1980,0,1,"BECKER","DR. PAUL",51,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"BECKER, GERHARD",1942,"elektromeister",0,"spd","HE",31,,0,1980,0,1,"BECKER","GERHARD",38,"elektromeister",,,,"not_legis",FALSE,FALSE,
"BECKER, GERHARD",1936,"direktor einer gesamtschule",0,"spd","HE",50,,0,1980,0,1,"BECKER","GERHARD",44,"direktor einer gesamtschule",,,,"not_legis",FALSE,FALSE,
"BECKER, HANS-JUERGEN",1943,"soldat",0,"fdp","SH",12,,0,1980,0,1,"BECKER","HANS-JUERGEN",37,"soldat",,,,"not_legis",FALSE,FALSE,
"BECKER, HELMUTH",1929,"elektroingenieur a.d.",0,"spd","NW",14,98,1,1980,1,1,"BECKER","HELMUTH",51,"elektroingenieur",,,,"not_legis",FALSE,FALSE,
"BECKER, WERNER",1947,"oberstudienrat",0,"fdp","NW",42,121,0,1980,1,1,"BECKER","WERNER",33,"oberstudienrat",,,,"not_legis",FALSE,FALSE,
"BECKER, WILLI",1948,"korrektor",0,"greens","NW",9,59,0,1980,1,1,"BECKER","WILLI",32,"korrektor",,,,"not_legis",FALSE,FALSE,
"BECKER-SEVERT, ANNETTE ANNA MARIA",1929,"studiendirektorin",1,"cdu_csu","NW",89,,0,1980,0,1,"BECKER-SEVERT","ANNETTE ANNA MARIA",51,"studiendirektorin",,,,"not_legis",FALSE,FALSE,
"BECKMANN, HEINZ",1923,"elektromonteur",0,"cdu_csu","NW",77,,0,1980,0,1,"BECKMANN","HEINZ",57,"elektromonteur",,,,"not_legis",FALSE,FALSE,
"BECKMANN, KLAUS",1944,"rechtsanwalt",0,"fdp","NW",13,90,1,1980,1,1,"BECKMANN","KLAUS",36,"rechtsanwalt",,,,"not_legis",FALSE,FALSE,
"BECKMANN, LUKAS",1950,"soziologe/geschäftsführer",0,"greens","",,58,0,1980,1,0,"BECKMANN","LUKAS",30,"soziologe geschäftsführer",,,,"not_legis",FALSE,FALSE,
"BECK-OBERDORF, MARIELUISE",1952,"reallehrerin",1,"greens","BW",4,183,0,1980,1,1,"BECK-OBERDORF","MARIELUISE",28,"reallehrerin",,,,"not_legis",FALSE,FALSE,
"BEEK, FRITZ",1912,"rentner",0,"greens","",,124,0,1980,1,0,"BEEK","FRITZ",68,"rentner",,,,"not_legis",FALSE,FALSE,
"BEHM, JOACHIM",1941,"soldat",0,"fdp","SH",4,8,0,1980,1,1,"BEHM","JOACHIM",39,"soldat",,,,"not_legis",FALSE,FALSE,
"BEHNKE, GEORG",1951,"gerichtsreferendar",0,"cdu_csu","NI",29,,0,1980,0,1,"BEHNKE","GEORG",29,"gerichtsreferendar",,,,"not_legis",FALSE,FALSE,
"BEHRINGER, ERNST",1942,"berufssoldat",0,"cdu_csu","BW",45,,0,1980,0,1,"BEHRINGER","ERNST",38,"berufssoldat",,,,"not_legis",FALSE,FALSE,
"BENDER, IGNAZ",1937,"universitätskanzler",0,"cdu_csu","RP",16,,0,1980,0,1,"BENDER","IGNAZ",43,"universitätskanzler",,,,"not_legis",FALSE,FALSE,
"BENDIG, WOLFGANG",1942,"soldat, ingenieur (grad.)",0,"cdu_csu","NI",33,,0,1980,0,1,"BENDIG","WOLFGANG",38,"soldat","ingenieur grad",,,"not_legis",FALSE,FALSE,
"BENEDIX-ENGLER, URSULA",1922,"oberstudienrätin a.d.",1,"cdu_csu","NI",3,48,1,1980,1,1,"BENEDIX-ENGLER","URSULA",58,"oberstudienrätin",,,,"not_legis",FALSE,FALSE,
"BENTFELD, JOHANNA",1926,"hausfrau",1,"cdu_csu","NW",60,,0,1980,0,1,"BENTFELD","JOHANNA",54,"hausfrau",,,,"not_legis",FALSE,FALSE,
"BERG, GUENTER",1927,"maschinenschlosser",0,"spd","NI",85,,0,1980,0,1,"BERG","GUENTER",53,"maschinenschlosser",,,,"not_legis",FALSE,FALSE,
"BERG, HERMANN-OTTO",1924,"ingenieur",0,"spd","HE",47,,0,1980,0,1,"BERG","HERMANN-OTTO",56,"ingenieur",,,,"not_legis",FALSE,FALSE,
"BERGER, DIETRICH",1948,"realschullehrer",0,"fdp","BW",27,187,0,1980,1,1,"BERGER","DIETRICH",32,"realschullehrer",,,,"not_legis",FALSE,FALSE,
"BERGER, DR. VERONIKA",1949,"soziologin",1,"spd","HH",18,,0,1980,0,1,"BERGER","DR. VERONIKA",31,"soziologin",,,,"not_legis",FALSE,FALSE,
"BERGER, GERALD",1938,"oberstleutnant",0,"cdu_csu","BY",32,,0,1980,0,1,"BERGER","GERALD",42,"oberstleutnant",,,,"not_legis",FALSE,FALSE,
"BERGER, MARKUS",1938,"soldat",0,"cdu_csu","RP",12,,0,1980,0,1,"BERGER","MARKUS",42,"soldat",,,,"is_legis",TRUE,FALSE,"mdb"
"BERGEROWSKI, WOLFRAM JOACHIM",1936,"richter a.d.",0,"fdp","BW",7,183,1,1980,1,1,"BERGEROWSKI","WOLFRAM JOACHIM",44,"richter",,,,"not_legis",FALSE,FALSE,
"BERGMANN, FRIEDRICH",1944,"parlamentsrat",0,"fdp","",,166,0,1980,1,0,"BERGMANN","FRIEDRICH",36,"parlamentsrat",,,,"not_legis",FALSE,FALSE,
"BERNBACHER, CHRISTA",1930,"krankenschwester, hebamme",1,"greens","HB",1,50,0,1980,1,1,"BERNBACHER","CHRISTA",50,"krankenschwester","hebamme",,,"not_legis",FALSE,FALSE,
"BERNDT, HANS WERNER",1937,"steuerberater",0,"fdp","HE",16,126,0,1980,1,1,"BERNDT","HANS WERNER",43,"steuerberater",,,,"not_legis",FALSE,FALSE,
"BERNDT, ROLF",1946,"oberregierungsrat",0,"fdp","RP",4,146,0,1980,1,1,"BERNDT","ROLF",34,"oberregierungsrat",,,,"not_legis",FALSE,FALSE,
"BERNHAEUSER, PETER",1940,"heizungsmonteur",0,"greens","",,44,0,1980,1,0,"BERNHAEUSER","PETER",40,"heizungsmonteur",,,,"not_legis",FALSE,FALSE,
"BERNHARD, KARLHEINZ",1928,"journalist",0,"cdu_csu","HE",61,,0,1980,0,1,"BERNHARD","KARLHEINZ",52,"journalist",,,,"not_legis",FALSE,FALSE,
"BERNHARD, WILHELM",1951,"reallehrer",0,"spd","BW",37,,0,1980,0,1,"BERNHARD","WILHELM",29,"reallehrer",,,,"not_legis",FALSE,FALSE,
"BERNHOLD, CLAUS",1936,"oberstleutnant",0,"cdu_csu","BY",58,,0,1980,0,1,"BERNHOLD","CLAUS",44,"oberstleutnant",,,,"not_legis",FALSE,FALSE,
"BERNRATH, HANS GOTTFRIED",1927,"postbeamter",0,"spd","NW",20,77,1,1980,1,1,"BERNRATH","HANS GOTTFRIED",53,"postbeamter",,,,"not_legis",FALSE,FALSE,
"BERNSDORF, ROBERT",1931,"agraringenieur",0,"fdp","NI",24,44,0,1980,1,1,"BERNSDORF","ROBERT",49,"agraringenieur",,,,"not_legis",FALSE,FALSE,
"BERSCHKEIT, ERICH",1926,"prokurist",0,"spd","NW",21,54,1,1980,1,1,"BERSCHKEIT","ERICH",54,"prokurist",,,,"not_legis",FALSE,FALSE,
"BERT, DR. MARGITA",1940,"frauenärztin",1,"fdp","HE",24,,0,1980,0,1,"BERT","DR. MARGITA",40,"frauenärztin",,,,"not_legis",FALSE,FALSE,
"BERTGES, WILHELM",1912,"rentner",0,"spd","SL",12,,0,1980,0,1,"BERTGES","WILHELM",68,"rentner",,,,"not_legis",FALSE,FALSE,
"BERTHOLD, BRIGITTE LUISE",1950,"sekretärin",1,"greens","SL",4,,0,1980,0,1,"BERTHOLD","BRIGITTE LUISE",30,"sekretärin",,,,"not_legis",FALSE,FALSE,
"BERTHOLD, JUERGEN",1946,"vertriebsleiter",0,"greens","",,248,0,1980,1,0,"BERTHOLD","JUERGEN",34,"vertriebsleiter",,,,"not_legis",FALSE,FALSE,
"BERTRAM, PROF. DR. ROLF",1931,"hochschullehrer",0,"greens","",,48,0,1980,1,0,"BERTRAM","PROF. DR. ROLF",49,"hochschullehrer",,,,"not_legis",FALSE,FALSE,
"BETTERMANN, ALFRED",1933,"bundesbahnhauptsekretär",0,"spd","NI",61,,0,1980,0,1,"BETTERMANN","ALFRED",47,"bundesbahnhauptsekretär",,,,"not_legis",FALSE,FALSE,
"BETZL, LEONHARD",1950,"ingenieur",0,"greens","BY",15,205,0,1980,1,1,"BETZL","LEONHARD",30,"ingenieur",,,,"not_legis",FALSE,FALSE,
"BETZLER, ANTON, MARTIN",1953,"bronzegiesser",0,"greens","BY",55,243,0,1980,1,1,"BETZLER","ANTON",27,"bronzegiesser",,,,"not_legis",FALSE,FALSE,
"BEUST, OLE VON",1955,"student",0,"cdu_csu","HH",11,,0,1980,0,1,"BEUST","OLE VON",25,"student",,,,"not_legis",FALSE,FALSE,
"BEUYS, PROF. JOSEPH",1921,"bildhauer, hochschullehrer",0,"greens","NW",1,74,0,1980,1,1,"BEUYS","PROF. JOSEPH",59,"bildhauer","hochschullehrer",,,"not_legis",FALSE,FALSE,
"BEYER, DR GERHARD",1908,"arzt i.r.",0,"greens","",,126,0,1980,1,0,"BEYER","DR GERHARD",72,"arzt",,,,"not_legis",FALSE,FALSE,
"BEYERSDORFF, SITRYGG",1934,"zollamtmann",0,"spd","SH",13,,0,1980,0,1,"BEYERSDORFF","SITRYGG",46,"zollamtmann",,,,"not_legis",FALSE,FALSE,
"BICK, ALFONS",1920,"regierungsangestellter",0,"spd","SL",21,,0,1980,0,1,"BICK","ALFONS",60,"regierungsangestellter",,,,"not_legis",FALSE,FALSE,
"BIEHLE, ALFRED",1926,"redakteur",0,"cdu_csu","",,235,1,1980,1,0,"BIEHLE","ALFRED",54,"redakteur",,,,"is_legis",TRUE,FALSE,"mdb"
"BIERMANN, GUENTER",1931,"industriekaufmann",0,"spd","",,103,1,1980,1,0,"BIERMANN","GUENTER",49,"industriekaufmann",,,,"not_legis",FALSE,FALSE,
"BINDER, MAX",1923,"leitender regierungsdirektor",0,"cdu_csu","HE",28,,0,1980,0,1,"BINDER","MAX",57,"leitender regierungsdirektor",,,,"not_legis",FALSE,FALSE,
"BINDIG, RUDOLF",1940,"diplomkaufmann",0,"spd","BW",19,197,1,1980,1,1,"BINDIG","RUDOLF",40,"diplomkaufmann",,,,"is_legis",TRUE,FALSE,"mdb"
"BITZER, WALTER",1947,"student",0,"greens","",,114,0,1980,1,0,"BITZER","WALTER",33,"student",,,,"not_legis",FALSE,FALSE,
"BLANK, FRIEDEL",1929,"bundesbahnsekretär",0,"cdu_csu","SL",22,,0,1980,0,1,"BLANK","FRIEDEL",51,"bundesbahnsekretär",,,,"not_legis",FALSE,FALSE,
"BLANK, RENATE",1941,"kauffrau",1,"cdu_csu","BY",42,,0,1980,0,1,"BLANK","RENATE",39,"kauffrau",,,,"not_legis",FALSE,FALSE,
"BLAU, HELMUT",1937,"forstbeamter",0,"spd","HE",74,,0,1980,0,1,"BLAU","HELMUT",43,"forstbeamter",,,,"not_legis",FALSE,FALSE,
"BLOCK, ULRIKE",1938,"katechetin",1,"spd","NI",64,,0,1980,0,1,"BLOCK","ULRIKE",42,"katechetin",,,,"not_legis",FALSE,FALSE,
"BLOEMER, RICHARD ERICH",1944,"hauptschullehrer",0,"cdu_csu","NW",110,,0,1980,0,1,"BLOEMER","RICHARD ERICH",36,"hauptschullehrer",,,,"not_legis",FALSE,FALSE,
"BLUEGEL, RUDOLF",1927,"technischer berufsschullehrer",0,"cdu_csu","SL",6,,0,1980,0,1,"BLUEGEL","RUDOLF",53,"technischer berufsschullehrer",,,,"not_legis",FALSE,FALSE,
"BLUEM, DR. NORBERT",1935,"lehrbeauftragter",0,"cdu_csu","RP",6,156,1,1980,1,1,"BLUEM","DR. NORBERT",45,"lehrbeauftragter",,,,"not_legis",FALSE,FALSE,
"BLUMENSTEIN, ERNST VON",1931,"diplom-ingenieur",0,"fdp","SL",7,,0,1980,0,1,"BLUMENSTEIN","ERNST VON",49,"diplom ingenieur",,,,"not_legis",FALSE,FALSE,
"BLUMENTHAL, VICTOR VON",1940,"wissenschaftlicher angestellter",0,"fdp","HE",81,,0,1980,0,1,"BLUMENTHAL","VICTOR VON",40,"wissenschaftlicher angestellter",,,,"not_legis",FALSE,FALSE,
"BLUNCK, LIESELOTT CHRISTINE",1942,"erzieherin",1,"spd","SH",12,,0,1980,0,1,"BLUNCK","LIESELOTT CHRISTINE",38,"erzieherin",,,,"not_legis",FALSE,FALSE,
"BOCK, DR. DIPL.-CHEM., HOLGER",1939,"selbständiger kaufmann",0,"fdp","BY",43,243,0,1980,1,1,"BOCK","DR. DIPL.-CHEM.",41,"selbständig kaufmann",,,,"not_legis",FALSE,FALSE,
"BOCK, ERNST",1914,"pfarrer",0,"cdu_csu","BW",21,,0,1980,0,1,"BOCK","ERNST",66,"pfarrer",,,,"not_legis",FALSE,FALSE,
"BODE, FRIEDRICH",1940,"pastor",0,"greens","HB",2,51,0,1980,1,1,"BODE","FRIEDRICH",40,"pastor",,,,"not_legis",FALSE,FALSE,
